iter	Passed	Remaining
401	5020	7468
402	5034	7458
403	5038	7433
404	5043	7409
405	5052	7391
406	5059	7371
407	5063	7347
408	5070	7326
409	5074	7302
410	5078	7277
411	5083	7254
412	5087	7231
413	5090	7204
414	5092	7178
415	5095	7153
416	5103	7134
417	5113	7119
418	5122	7102
419	5127	7080
420	5130	7055
421	5141	7042
422	5157	7035
423	5162	7013
424	5170	6995
425	5179	6978
426	5183	6955
427	5186	6931
428	5202	6924
429	5206	6901
430	5211	6880
431	5219	6863
432	5227	6845
433	5231	6823
434	5235	6800
435	5241	6780
436	5246	6759
437	5250	6737
438	5255	6715
439	5262	6697
440	5268	6678
441	5283	6670
442	5296	6659
443	5299	6635
444	5306	6618
445	5310	6596
446	5316	6577
447	5333	6571
448	5341	6554
449	5348	6537
450	5352	6515
451	5361	6500
452	5365	6478
453	5372	6460
454	5386	6452
455	5390	6431
456	5396	6412
457	5399	6390
458	5415	6382
459	5418	6361
460	5424	6341
461	5429	6322
462	5439	6309
463	5442	6286
464	5448	6268
465	5457	6253
466	5467	6240
467	5475	6223
468	5483	6208
469	5500	6202
470	5502	6180
471	5505	6158
472	5512	6142
473	5516	6121
474	5521	6102
475	5530	6087
476	5534	6068
477	5543	6053
478	5550	6037
479	5553	6015
480	5558	5997
481	5565	5980
482	5572	5964
483	5575	5944
484	5578	5923
485	5580	5901
486	5590	5888
487	5599	5875
488	5606	5859
489	5615	5844
490	5617	5823
491	5622	5805
492	5626	5786
493	5629	5766
494	5632	5745
495	5640	5731
496	5651	5719
497	5654	5699
498	5665	5688
499	5668	5668
500	5677	5654
501	5679	5634
502	5700	5632
503	5713	5622
504	5717	5604
505	5724	5588
506	5729	5571
507	5731	5551
508	5736	5534
509	5744	5519
510	5747	5500
511	5750	5481
512	5758	5466
513	5765	5451
514	5774	5438
515	5793	5433
516	5795	5414
517	5803	5400
518	5811	5385
519	5816	5369
520	5822	5352
521	5826	5335
522	5830	5317
523	5842	5307
524	5849	5292
525	5854	5275
526	5858	5258
527	5862	5241
528	5871	5227
529	5875	5210
530	5879	5193
531	5884	5176
532	5888	5159
533	5894	5143
534	5901	5129
535	5904	5111
536	5908	5094
537	5911	5076
538	5918	5062
539	5925	5047
540	5931	5032
541	5964	5039
542	5974	5028
543	6005	5034
544	6012	5019
545	6020	5005
546	6023	4988
547	6041	4983
548	6046	4967
549	6053	4953
550	6057	4936
551	6062	4920
552	6070	4906
553	6074	4890
554	6098	4889
555	6104	4874
556	6123	4870
557	6130	4856
558	6145	4848
559	6149	4831
560	6151	4813
561	6156	4797
562	6158	4780
563	6161	4763
564	6192	4767
565	6194	4750
566	6200	4735
567	6204	4719
568	6209	4703
569	6222	4694
570	6229	4680
571	6234	4664
572	6236	4647
573	6253	4641
574	6261	4628
575	6290	4630
576	6311	4627
577	6336	4626
578	6350	4617
579	6353	4601
580	6471	4667
581	6477	4652
582	6484	4638
583	6486	4620
584	6490	4604
585	6494	4588
586	6496	4570
587	6711	4702
588	6743	4705
589	6801	4726
590	6844	4736
591	6852	4722
592	6859	4708
593	6863	4691
594	6869	4675
595	6871	4657
596	6888	4650
597	6891	4632
598	6918	4631
599	6923	4615
600	6932	4602
601	6941	4589
602	6952	4577
603	6955	4560
604	6960	4544
605	6963	4527
606	6975	4516
607	7064	4554
608	7133	4580
609	7178	4589
610	7193	4579
611	7198	4563
612	7207	4550
613	7223	4541
614	7251	4539
615	7264	4528
616	7268	4511
617	7271	4494
618	7273	4476
619	7281	4462
620	7290	4449
621	7298	4435
622	7362	4455
623	7365	4438
624	7398	4439
625	7400	4421
626	7404	4404
627	7408	4388
628	7412	4372
629	7414	4354
630	7417	4337
631	7424	4323
632	7437	4311
633	7443	4297
634	7451	4283
635	7463	4271
636	7473	4259
637	7476	4242
638	7478	4224
639	7485	4210
640	7490	4195
641	7495	4179
642	7505	4166
643	7508	4150
644	7510	4133
645	7517	4119
646	7524	4105
647	7529	4090
648	7537	4076
649	7543	4061
650	7547	4046
651	7549	4029
652	7551	4013
653	7553	3996
654	7558	3981
655	7562	3965
656	7575	3955
657	7581	3940
658	7583	3924
659	7586	3908
660	7591	3893
661	7667	3914
662	7674	3901
663	7679	3886
664	7684	3871
665	7692	3857
666	7765	3877
667	7773	3863
668	7790	3854
669	7793	3838
670	7802	3825
671	7808	3811
672	7816	3797
673	7844	3794
674	7851	3780
675	7859	3766
676	7866	3753
677	7872	3738
678	7876	3723
679	7878	3707
680	7930	3714
681	7935	3700
682	7940	3685
683	7950	3672
684	7958	3659
685	7970	3648
686	7976	3634
687	8076	3662
688	8081	3647
689	8098	3638
690	8102	3623
691	8108	3609
692	8117	3595
693	8190	3611
694	8201	3599
695	8205	3583
696	8217	3572
697	8220	3556
698	8223	3541
699	8236	3529
700	8240	3515
701	8300	3523
702	8304	3508
703	8319	3497
704	8325	3483
705	8338	3472
706	8347	3459
707	8369	3451
708	8398	3447
709	8472	3460
710	8481	3447
711	8495	3436
712	8500	3421
713	8509	3408
714	8523	3397
715	8574	3401
716	8578	3385
717	8612	3382
718	8633	3374
719	8638	3359
720	8642	3344
721	8646	3329
722	8650	3314
723	8660	3301
724	8665	3286
725	8668	3271
726	8677	3258
727	8686	3245
728	8691	3231
729	8698	3217
730	8704	3203
731	8711	3189
732	8716	3175
733	8720	3160
734	8729	3147
735	8733	3132
736	8739	3118
737	8746	3105
738	8751	3090
739	8757	3076
740	8764	3063
741	8864	3082
742	8953	3096
743	8957	3082
744	9012	3084
745	9022	3071
746	9094	3080
747	9098	3065
748	9106	3051
749	9109	3036
750	9122	3024
751	9153	3018
752	9159	3004
753	9162	2989
754	9165	2974
755	9170	2959
756	9408	3020
757	9413	3005
758	9416	2990
759	9419	2974
760	9615	3019
761	9620	3004
762	9624	2989
763	9629	2974
764	9634	2959
765	9639	2944
766	9646	2930
767	9650	2915
768	9670	2904
769	9678	2890
770	9688	2877
771	9695	2863
772	9698	2848
773	9700	2832
774	9705	2817
775	9714	2804
776	9721	2790
777	9727	2775
778	9732	2761
779	9737	2746
780	9741	2731
781	9750	2718
782	9756	2703
783	9762	2689
784	9769	2675
785	9779	2662
786	9788	2649
787	9797	2635
788	9810	2623
789	9813	2608
790	9818	2594
791	9824	2580
792	9827	2565
793	9866	2559
794	9879	2547
795	9885	2533
796	9889	2518
797	9897	2505
798	9900	2490
799	9910	2477
800	9919	2464
801	9932	2452
802	9935	2437
803	9942	2423
804	9958	2412
805	9967	2399
806	9973	2385
807	9978	2371
808	9985	2357
809	9988	2343
810	9995	2329
811	10004	2316
812	10007	2301
813	10012	2287
814	10018	2274
815	10030	2261
816	10050	2251
817	10057	2237
818	10060	2223
819	10064	2209
820	10070	2195
821	10168	2202
822	10189	2191
823	10194	2177
824	10199	2163
825	10202	2149
826	10205	2134
827	10213	2121
828	10220	2108
829	10222	2093
830	10224	2079
831	10226	2065
